<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.12	08:00:00	50.79	51.08	50.66	50.89	1966	0	3
2020.02.12	12:00:00	50.89	51.32	50.78	51.26	1730	0	3
2020.02.12	16:00:00	51.28	51.88	51.16	51.48	4400	0	3
2020.02.12	20:00:00	51.48	51.82	51.32	51.79	1607	0	3
2020.02.13	00:00:00	51.89	52.14	51.09	51.65	1735	0	3
2020.02.13	04:00:00	51.66	51.68	51.39	51.41	924	0	3
2020.02.13	08:00:00	51.41	51.47	50.91	51.03	1796	0	3
2020.02.13	12:00:00	51.03	51.53	50.79	51.47	2819	0	3
2020.02.13	16:00:00	51.48	52.08	51.40	51.76	4312	0	3
2020.02.13	20:00:00	51.75	51.84	51.37	51.77	1951	0	3
2020.02.14	00:00:00	51.77	51.84	51.53	51.62	818	0	5
2020.02.14	04:00:00	51.61	51.76	51.53	51.74	732	0	5
2020.02.14	08:00:00	51.74	51.85	51.60	51.74	1618	0	3
2020.02.14	12:00:00	51.74	52.51	51.73	52.07	2311	0	3
2020.02.14	16:00:00	52.06	52.52	51.83	51.95	4061	0	3
2020.02.14	20:00:00	51.95	52.45	51.92	52.42	1614	0	3
2020.02.17	00:00:00	52.48	52.48	52.03	52.26	993	0	5
2020.02.17	04:00:00	52.26	52.40	52.20	52.40	599	0	5
2020.02.17	08:00:00	52.40	52.46	52.24	52.36	1607	0	3
2020.02.17	12:00:00	52.36	52.39	52.15	52.32	1487	0	3
2020.02.17	16:00:00	52.32	52.42	52.21	52.39	1394	0	3
2020.02.18	00:00:00	52.32	52.41	51.98	52.07	972	0	3
2020.02.18	04:00:00	52.07	52.09	51.72	51.95	614	0	3
2020.02.18	08:00:00	51.95	51.97	51.39	51.50	1040	0	3
2020.02.18	12:00:00	51.50	51.65	51.16	51.25	1127	0	3
2020.02.18	16:00:00	51.26	52.14	51.19	51.95	2617	0	3
2020.02.18	20:00:00	51.94	52.40	51.90	52.40	1189	0	3
2020.02.19	00:00:00	52.35	52.45	52.16	52.39	781	0	5
2020.02.19	04:00:00	52.40	52.88	52.33	52.75	1072	0	3
2020.02.19	08:00:00	52.73	52.95	52.62	52.89	1254	0	4
2020.02.19	12:00:00	52.89	53.24	52.89	53.07	1116	0	3
2020.02.19	16:00:00	53.07	53.69	52.73	53.61	2626	0	3
2020.02.19	20:00:00	53.61	53.79	53.40	53.71	1175	0	3
2020.02.20	00:00:00	53.65	54.10	53.64	53.97	870	0	3
2020.02.20	04:00:00	53.96	53.98	53.54	53.80	1050	0	5
2020.02.20	08:00:00	53.79	53.87	53.45	53.74	1597	0	3
2020.02.20	12:00:00	53.72	54.05	53.54	53.99	2283	0	3
2020.02.20	16:00:00	53.98	54.63	53.80	53.98	4351	0	3
2020.02.20	20:00:00	53.98	54.23	53.81	53.83	1217	0	3
2020.02.21	00:00:00	53.72	53.85	53.38	53.60	1294	0	4
2020.02.21	04:00:00	53.60	53.64	53.35	53.40	938	0	4
2020.02.21	08:00:00	53.40	53.56	52.93	52.96	1804	0	3
2020.02.21	12:00:00	52.96	53.20	52.71	52.91	1756	0	3
2020.02.21	16:00:00	52.90	53.46	52.56	53.45	5086	0	3
2020.02.21	20:00:00	53.45	53.57	53.23	53.33	1259	0	3
2020.02.24	00:00:00	52.50	52.60	51.67	51.99	2115	0	3
2020.02.24	04:00:00	51.99	52.24	51.91	52.17	892	0	3
2020.02.24	08:00:00	52.17	52.29	51.38	51.54	2757	0	3
2020.02.24	12:00:00	51.54	51.58	50.91	51.00	3452	0	3
2020.02.24	16:00:00	51.00	51.30	50.59	50.69	4954	0	3
2020.02.24	20:00:00	50.68	51.67	50.46	51.25	2253	0	3
2020.02.25	00:00:00	51.25	51.74	51.20	51.60	1765	0	3
2020.02.25	04:00:00	51.59	51.79	51.53	51.72	1059	0	3
2020.02.25	08:00:00	51.71	52.02	51.26	51.35	2497	0	3
2020.02.25	12:00:00	51.35	51.75	51.09	51.41	3439	0	3
2020.02.25	16:00:00	51.42	51.51	50.40	50.58	5730	0	3
2020.02.25	20:00:00	50.57	50.65	49.74	50.10	3615	0	3
2020.02.26	00:00:00	50.12	50.42	50.02	50.31	1663	0	3
2020.02.26	04:00:00	50.30	50.44	50.19	50.23	1283	0	5
2020.02.26	08:00:00	50.23	50.23	49.02	49.22	4261	0	3
2020.02.26	12:00:00	49.23	49.62	49.04	49.40	4651	0	3
2020.02.26	16:00:00	49.40	50.46	49.31	49.36	6833	0	3
2020.02.26	20:00:00	49.37	49.50	48.27	48.71	5008	0	3
2020.02.27	00:00:00	48.71	48.76	47.92	47.95	2644	0	3
2020.02.27	04:00:00	47.95	48.19	47.86	48.08	2001	0	3
2020.02.27	08:00:00	48.08	48.41	47.85	47.94	3103	0	3
2020.02.27	12:00:00	47.95	47.99	46.79	46.99	3345	0	3
2020.02.27	16:00:00	46.98	47.79	45.94	47.37	8735	0	3
